question_id,run,gold_hops,threshold,t_s,t_r,lead_steps,category,has_later_state_after_t_s,reversal_after_t_s,persistence_ratio,answer_accuracy_at_t_s,answer_accuracy_at_t_r
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,3,4,0.5,2.0,,,S observed; R not observed,True,True,0.8571428571428571,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,1,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,2,2,0.5,2.0,4.0,2.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,3,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,1,2,0.5,3.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,2,2,0.5,3.0,11.0,8.0,S before R,True,True,0.9090909090909091,0.0,1.0
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,3,2,0.5,3.0,,,S observed; R not observed,True,True,0.6666666666666666,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,1,2,0.5,2.0,,,S observed; R not observed,True,False,1.0,0.0,
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,2,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,0.8
agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,3,2,0.5,2.0,5.0,3.0,S before R,True,False,1.0,0.0,1.0
