schema_version,question_id,qa_pair_id,question_ordinal,hop_index,gold_hop_count,gold_statement,gold_raw_fact,gold_serial_number,acquired_by_read,first_read_action_state,first_available_decision_state,matching_read_memory_ids,official_gold_lww_conflicted
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no37,factconsolidation_mh_262k_no37,37,2,2,Catholic Church was founded by Gérard Blitz,15083. Catholic Church was founded by Gérard Blitz.,15083,True,3,4,"[""m-edc48416279cf33fce68c421""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,factconsolidation_mh_262k_no38,38,1,2,"Nate ""Tiny"" Archibald is a citizen of Sweden","12147. Nate ""Tiny"" Archibald is a citizen of Sweden.",12147,True,3,4,"[""m-32937397b194ea97822b7885""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no38,factconsolidation_mh_262k_no38,38,2,2,The official language of Sweden is German,13563. The official language of Sweden is German.,13563,True,5,6,"[""m-de83a0d2e0630ddb97f1fe54""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,factconsolidation_mh_262k_no39,39,1,2,The author of La Celestina is Sigmund Freud,13895. The author of La Celestina is Sigmund Freud.,13895,True,3,4,"[""m-621e3928a351e7bbd9e11337""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no39,factconsolidation_mh_262k_no39,39,2,2,The univeristy where Sigmund Freud was educated is Princeton University,17423. The univeristy where Sigmund Freud was educated is Princeton University.,17423,True,5,6,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,factconsolidation_mh_262k_no40,40,1,2,Malik Kafur is affiliated with the religion of Islam,6249. Malik Kafur is affiliated with the religion of Islam.,6249,True,3,4,"[""m-764a735eb863dbf0706b046a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no40,factconsolidation_mh_262k_no40,40,2,2,The official language of Islam is Picard,17328. The official language of Islam is Picard.,17328,True,3,4,"[""m-2c378c529470c6ac9d9129c5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,factconsolidation_mh_262k_no41,41,1,2,Yesterday and Today was performed by Madonna,18125. Yesterday and Today was performed by Madonna.,18125,True,2,3,"[""m-0a2ca057cd4e91028f99f848""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no41,factconsolidation_mh_262k_no41,41,2,2,The director of Madonna is Narendra Modi,12455. The director of Madonna is Narendra Modi.,12455,True,2,3,"[""m-b4f7617ddfde634fb0ac7372""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,factconsolidation_mh_262k_no42,42,1,4,Derek Holland plays the position of linebacker,11785. Derek Holland plays the position of linebacker.,11785,True,2,3,"[""m-cc9026da2a96fd1bdeb2953b""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,factconsolidation_mh_262k_no42,42,2,4,linebacker is associated with the sport of shinty,11323. linebacker is associated with the sport of shinty.,11323,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,factconsolidation_mh_262k_no42,42,3,4,shinty was created in the country of Canada,13265. shinty was created in the country of Canada.,13265,True,5,6,"[""m-8ea23f7d97db2ab60eec5ae4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no42,factconsolidation_mh_262k_no42,42,4,4,The capital of Canada is Ottawa,13502. The capital of Canada is Ottawa.,13502,True,5,6,"[""m-8ea23f7d97db2ab60eec5ae4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,factconsolidation_mh_262k_no43,43,1,2,The chairperson of Muttahida Qaumi Movement is Stephen McNeil,9543. The chairperson of Muttahida Qaumi Movement is Stephen McNeil.,9543,True,2,3,"[""m-8988c2999d80d11c33dcaf06""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no43,factconsolidation_mh_262k_no43,43,2,2,Stephen McNeil speaks the language of English,1721. Stephen McNeil speaks the language of English.,1721,True,4,5,"[""m-4629414582d97d69514c4643""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,factconsolidation_mh_262k_no44,44,1,2,Ragini Dwivedi is a citizen of United Kingdom,14296. Ragini Dwivedi is a citizen of United Kingdom.,14296,True,6,7,"[""m-1013038271bffdb5b4d7d9a5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no44,factconsolidation_mh_262k_no44,44,2,2,The capital of United Kingdom is Rupnagar,9722. The capital of United Kingdom is Rupnagar.,9722,True,3,4,"[""m-3d125b0f0545f62e1d4dad28""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,factconsolidation_mh_262k_no45,45,1,2,The author of Dubliners is George Eliot,7516. The author of Dubliners is George Eliot.,7516,True,2,3,"[""m-e83f38f2c761aa5a2f5c0f21""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no45,factconsolidation_mh_262k_no45,45,2,2,George Eliot died in the city of London,13652. George Eliot died in the city of London.,13652,True,4,5,"[""m-de83a0d2e0630ddb97f1fe54""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,factconsolidation_mh_262k_no46,46,1,2,Sailfish OS was developed by Mitsubishi,17060. Sailfish OS was developed by Mitsubishi.,17060,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no46,factconsolidation_mh_262k_no46,46,2,2,The headquarters of Mitsubishi is located in the city of Normanton,13013. The headquarters of Mitsubishi is located in the city of Normanton.,13013,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,factconsolidation_mh_262k_no47,47,1,4,David Price plays the position of tight end,6957. David Price plays the position of tight end.,6957,True,2,3,"[""m-b7dcd8cd2d91e2a0530e94f1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,factconsolidation_mh_262k_no47,47,2,4,tight end is associated with the sport of field hockey,15061. tight end is associated with the sport of field hockey.,15061,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,factconsolidation_mh_262k_no47,47,3,4,field hockey was created in the country of Philippines,7774. field hockey was created in the country of Philippines.,7774,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no47,factconsolidation_mh_262k_no47,47,4,4,The capital of Philippines is Manila,1649. The capital of Philippines is Manila.,1649,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,factconsolidation_mh_262k_no48,48,1,4,All of Me was performed by Bobby Brown,8600. All of Me was performed by Bobby Brown.,8600,True,3,4,"[""m-28069cede24e19a36554223e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,factconsolidation_mh_262k_no48,48,2,4,Bobby Brown is married to Lois Lane,12774. Bobby Brown is married to Lois Lane.,12774,True,7,8,"[""m-d8939565b192098f7742417a""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,factconsolidation_mh_262k_no48,48,3,4,Lois Lane is a citizen of South Korea,11186. Lois Lane is a citizen of South Korea.,11186,True,7,8,"[""m-323e3517faf8135a089224ca""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no48,factconsolidation_mh_262k_no48,48,4,4,The official language of South Korea is Spanish,17625. The official language of South Korea is Spanish.,17625,True,3,4,"[""m-098e8f358b290e8ba2babe14""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,factconsolidation_mh_262k_no49,49,1,2,Indiana Jones was created by A. A. Milne,16885. Indiana Jones was created by A. A. Milne.,16885,True,3,4,"[""m-ac04b749be9809cc151a3f0e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no49,factconsolidation_mh_262k_no49,49,2,2,A. A. Milne was born in the city of Lüftelberg,9989. A. A. Milne was born in the city of Lüftelberg.,9989,True,3,4,"[""m-1d5745d8b432a6047b4dd936""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,factconsolidation_mh_262k_no50,50,1,2,The company that produced Chevrolet Chevelle is Peugeot,7530. The company that produced Chevrolet Chevelle is Peugeot.,7530,True,3,4,"[""m-e83f38f2c761aa5a2f5c0f21""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no50,factconsolidation_mh_262k_no50,50,2,2,The chief executive officer of Peugeot is David Potts,11881. The chief executive officer of Peugeot is David Potts.,11881,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,factconsolidation_mh_262k_no51,51,1,2,The chairperson of Economic Freedom Fighters is Roberto Calvi,12369. The chairperson of Economic Freedom Fighters is Roberto Calvi.,12369,True,3,4,"[""m-f41ccd0cde28da235a2664ef""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no51,factconsolidation_mh_262k_no51,51,2,2,Roberto Calvi works in the field of composer,11395. Roberto Calvi works in the field of composer.,11395,True,5,6,"[""m-ae3c59715d1425023fba9b40""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,factconsolidation_mh_262k_no52,52,1,4,Windows Aero was developed by Electronic Arts,11440. Windows Aero was developed by Electronic Arts.,11440,True,4,5,"[""m-ae3c59715d1425023fba9b40""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,factconsolidation_mh_262k_no52,52,2,4,The chief executive officer of Electronic Arts is Elon Musk,10564. The chief executive officer of Electronic Arts is Elon Musk.,10564,True,4,5,"[""m-ec21766410e0c5f0e5f7320f""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,factconsolidation_mh_262k_no52,52,3,4,Elon Musk was born in the city of New Zealand,14913. Elon Musk was born in the city of New Zealand.,14913,True,4,5,"[""m-4b387e35592c018e238fb4ed""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no52,factconsolidation_mh_262k_no52,52,4,4,New Zealand is located in the continent of Africa,14051. New Zealand is located in the continent of Africa.,14051,True,6,7,"[""m-621e3928a351e7bbd9e11337""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,factconsolidation_mh_262k_no53,53,1,3,The type of music that Julian Lennon plays is soul music,18039. The type of music that Julian Lennon plays is soul music.,18039,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,factconsolidation_mh_262k_no53,53,2,3,soul music was created in the country of United States of America,11957. soul music was created in the country of United States of America.,11957,True,3,4,"[""m-32937397b194ea97822b7885""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no53,factconsolidation_mh_262k_no53,53,3,3,The name of the current head of the United States of America government is Ole Johan Vierdal,14719. The name of the current head of the United States of America government is Ole Johan Vierdal.,14719,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,factconsolidation_mh_262k_no54,54,1,3,Steve Cooley is affiliated with the religion of Methodism,11860. Steve Cooley is affiliated with the religion of Methodism.,11860,True,3,4,"[""m-cc9026da2a96fd1bdeb2953b""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,factconsolidation_mh_262k_no54,54,2,3,Methodism was founded by Joseph Goebbels,6876. Methodism was founded by Joseph Goebbels.,6876,True,3,4,"[""m-971985574eb04740c13ad5c1""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no54,factconsolidation_mh_262k_no54,54,3,3,"Joseph Goebbels worked in the city of Washington, D.C.","13978. Joseph Goebbels worked in the city of Washington, D.C..",13978,True,5,6,"[""m-621e3928a351e7bbd9e11337""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,factconsolidation_mh_262k_no55,55,1,4,The origianl broadcaster of The Partridge Family is British Broadcasting Corporation,18223. The origianl broadcaster of The Partridge Family is British Broadcasting Corporation.,18223,True,2,3,"[""m-e8c89d3ba3aa543273171efa""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,factconsolidation_mh_262k_no55,55,2,4,The director of British Broadcasting Corporation is Narendra Modi,12252. The director of British Broadcasting Corporation is Narendra Modi.,12252,True,4,5,"[""m-f41ccd0cde28da235a2664ef""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,factconsolidation_mh_262k_no55,55,3,4,Narendra Modi is a citizen of Australia,12321. Narendra Modi is a citizen of Australia.,12321,True,4,5,"[""m-f41ccd0cde28da235a2664ef""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no55,factconsolidation_mh_262k_no55,55,4,4,The capital of Australia is Oderzo,1503. The capital of Australia is Oderzo.,1503,True,6,7,"[""m-9775f81addddef3bf5347951""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,factconsolidation_mh_262k_no56,56,1,2,Philip Agee is employed by Federal Bureau of Investigation,14409. Philip Agee is employed by Federal Bureau of Investigation.,14409,True,2,3,"[""m-95bbccbd6a08d16d05369687""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no56,factconsolidation_mh_262k_no56,56,2,2,The director of Federal Bureau of Investigation is Christopher A. Wray,10118. The director of Federal Bureau of Investigation is Christopher A. Wray.,10118,True,2,3,"[""m-1d5745d8b432a6047b4dd936""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,factconsolidation_mh_262k_no57,57,1,3,Saint Eligius is affiliated with the religion of Methodism,12629. Saint Eligius is affiliated with the religion of Methodism.,12629,True,10,11,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,factconsolidation_mh_262k_no57,57,2,3,Methodism was founded by John Wesley,6850. Methodism was founded by John Wesley.,6850,True,4,5,"[""m-971985574eb04740c13ad5c1""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no57,factconsolidation_mh_262k_no57,57,3,3,John Wesley was born in the city of Epworth,2049. John Wesley was born in the city of Epworth.,2049,True,4,5,"[""m-2a46f1804e76d4daa1449ec5""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,factconsolidation_mh_262k_no58,58,1,2,The author of The Age of Reason is Allen Ginsberg,3850. The author of The Age of Reason is Allen Ginsberg.,3850,True,2,3,"[""m-154bcacb92d86a5c9d325b00""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no58,factconsolidation_mh_262k_no58,58,2,2,Allen Ginsberg is famous for Natya Shastra,15802. Allen Ginsberg is famous for Natya Shastra.,15802,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,factconsolidation_mh_262k_no59,59,1,2,The Illinois Attorney General is Ben Carson,15803. The Illinois Attorney General is Ben Carson.,15803,True,2,3,"[""m-0b1df58bb07f6d7652d8dfb1""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no59,factconsolidation_mh_262k_no59,59,2,2,"Ben Carson was born in the city of Higashiyamanashi District, Yamanashi","16748. Ben Carson was born in the city of Higashiyamanashi District, Yamanashi.",16748,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,factconsolidation_mh_262k_no60,60,1,2,Nicholas V is affiliated with the religion of The Church of Jesus Christ of Latter-day Saints,2493. Nicholas V is affiliated with the religion of The Church of Jesus Christ of Latter-day Saints.,2493,True,2,3,"[""m-a0156ee0ec6cb0be09a290e7""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no60,factconsolidation_mh_262k_no60,60,2,2,The Church of Jesus Christ of Latter-day Saints was founded by Lyndon B. Johnson,18045. The Church of Jesus Christ of Latter-day Saints was founded by Lyndon B. Johnson.,18045,True,4,5,"[""m-0a2ca057cd4e91028f99f848""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,factconsolidation_mh_262k_no61,61,1,2,The author of Ivanhoe is Walter Scott,8885. The author of Ivanhoe is Walter Scott.,8885,True,3,4,"[""m-27a012671d73f03a3fd6b638""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no61,factconsolidation_mh_262k_no61,61,2,2,Walter Scott was born in the city of Mexico City,15538. Walter Scott was born in the city of Mexico City.,15538,True,3,4,"[""m-0e33301d9eea6a7743aacd1f""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,factconsolidation_mh_262k_no62,62,1,2,Feluda was created by Terry Pratchett,14519. Feluda was created by Terry Pratchett.,14519,True,2,3,"[""m-95bbccbd6a08d16d05369687""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no62,factconsolidation_mh_262k_no62,62,2,2,Terry Pratchett's child is Zygmunt Krasiński,9416. Terry Pratchett's child is Zygmunt Krasiński.,9416,True,4,5,"[""m-feaf7a534f97d17286f510dc""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,factconsolidation_mh_262k_no63,63,1,4,The origianl broadcaster of NHL on ABC is British Broadcasting Corporation,12622. The origianl broadcaster of NHL on ABC is British Broadcasting Corporation.,12622,True,4,5,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,factconsolidation_mh_262k_no63,63,2,4,The director of British Broadcasting Corporation is Narendra Modi,12252. The director of British Broadcasting Corporation is Narendra Modi.,12252,True,3,4,"[""m-f41ccd0cde28da235a2664ef""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,factconsolidation_mh_262k_no63,63,3,4,Narendra Modi is a citizen of India,8510. Narendra Modi is a citizen of India.,8510,True,6,7,"[""m-aff4df280c82222c41cd9dbd""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no63,factconsolidation_mh_262k_no63,63,4,4,The capital of India is New Delhi,5269. The capital of India is New Delhi.,5269,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,factconsolidation_mh_262k_no64,64,1,2,Yip Harburg is a citizen of United Kingdom,14116. Yip Harburg is a citizen of United Kingdom.,14116,True,2,3,"[""m-1013038271bffdb5b4d7d9a5""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no64,factconsolidation_mh_262k_no64,64,2,2,The official language of United Kingdom is Finnish,6089. The official language of United Kingdom is Finnish.,6089,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,factconsolidation_mh_262k_no65,65,1,2,The author of Dune is William Shakespeare,8560. The author of Dune is William Shakespeare.,8560,True,2,3,"[""m-aff4df280c82222c41cd9dbd""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no65,factconsolidation_mh_262k_no65,65,2,2,The type of music that William Shakespeare plays is progressive rock,16788. The type of music that William Shakespeare plays is progressive rock.,16788,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,factconsolidation_mh_262k_no66,66,1,2,Thomas Dolby was born in the city of Los Angeles,9747. Thomas Dolby was born in the city of Los Angeles.,9747,True,2,3,"[""m-3d125b0f0545f62e1d4dad28""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no66,factconsolidation_mh_262k_no66,66,2,2,Los Angeles is located in the continent of South America,9317. Los Angeles is located in the continent of South America.,9317,True,4,5,"[""m-feaf7a534f97d17286f510dc""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,factconsolidation_mh_262k_no67,67,1,2,House of Bonaparte was founded by Gustav I of Sweden,16559. House of Bonaparte was founded by Gustav I of Sweden.,16559,True,2,3,"[""m-942f5722dd6757610c2e118b""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no67,factconsolidation_mh_262k_no67,67,2,2,The univeristy where Gustav I of Sweden was educated is Trinity College Dublin,6515. The univeristy where Gustav I of Sweden was educated is Trinity College Dublin.,6515,True,4,5,"[""m-9114fa7460e0af8f396d5e59""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,factconsolidation_mh_262k_no68,68,1,2,The company that produced Chevrolet Caprice is Boeing,15214. The company that produced Chevrolet Caprice is Boeing.,15214,True,2,3,"[""m-25705ac9d5e8865bd0ef9821""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no68,factconsolidation_mh_262k_no68,68,2,2,Boeing was founded in the city of Silver Lake,8796. Boeing was founded in the city of Silver Lake.,8796,True,4,5,"[""m-28069cede24e19a36554223e""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,factconsolidation_mh_262k_no69,69,1,4,Benjamin Sisko was performed by Extreme,11662. Benjamin Sisko was performed by Extreme.,11662,True,2,3,"[""m-cc9026da2a96fd1bdeb2953b""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,factconsolidation_mh_262k_no69,69,2,4,The type of music that Extreme plays is jazz,5558. The type of music that Extreme plays is jazz.,5558,True,4,5,"[""m-b7d3a9321839d30b4fca32c4""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,factconsolidation_mh_262k_no69,69,3,4,jazz was created in the country of Romania,16135. jazz was created in the country of Romania.,16135,True,6,7,"[""m-0b1100aa2215e071bf08a812""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no69,factconsolidation_mh_262k_no69,69,4,4,The capital of Romania is Rajanpur,4332. The capital of Romania is Rajanpur.,4332,True,8,9,"[""m-fe91a1e8a803d8f45780f318""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,factconsolidation_mh_262k_no70,70,1,3,The author of David Copperfield is Charles Darwin,6767. The author of David Copperfield is Charles Darwin.,6767,True,4,5,"[""m-971985574eb04740c13ad5c1""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,factconsolidation_mh_262k_no70,70,2,3,Charles Darwin is married to Amala Paul,11735. Charles Darwin is married to Amala Paul.,11735,True,4,5,"[""m-cc9026da2a96fd1bdeb2953b""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no70,factconsolidation_mh_262k_no70,70,3,3,Amala Paul is a citizen of Belgium,7139. Amala Paul is a citizen of Belgium.,7139,True,4,5,"[""m-b7dcd8cd2d91e2a0530e94f1""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,factconsolidation_mh_262k_no71,71,1,2,Francis Parkman is employed by Office of Strategic Services,15193. Francis Parkman is employed by Office of Strategic Services.,15193,True,2,3,"[""m-25705ac9d5e8865bd0ef9821""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no71,factconsolidation_mh_262k_no71,71,2,2,The chairperson of Office of Strategic Services is William J. Donovan,1171. The chairperson of Office of Strategic Services is William J. Donovan.,1171,True,2,3,"[""m-3576b8a194151a5c0e81bdc5""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,factconsolidation_mh_262k_no72,72,1,4,The origianl broadcaster of Good Morning America is American Broadcasting Company,13274. The origianl broadcaster of Good Morning America is American Broadcasting Company.,13274,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,factconsolidation_mh_262k_no72,72,2,4,The director of American Broadcasting Company is Ernst Heinkel,11457. The director of American Broadcasting Company is Ernst Heinkel.,11457,True,2,3,"[""m-ae3c59715d1425023fba9b40""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,factconsolidation_mh_262k_no72,72,3,4,Ernst Heinkel is a citizen of Tang Empire,8834. Ernst Heinkel is a citizen of Tang Empire.,8834,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no72,factconsolidation_mh_262k_no72,72,4,4,The capital of Tang Empire is Beaumont,11432. The capital of Tang Empire is Beaumont.,11432,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,factconsolidation_mh_262k_no73,73,1,2,Pee Wee King is a citizen of France,8543. Pee Wee King is a citizen of France.,8543,True,2,3,"[""m-aff4df280c82222c41cd9dbd""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no73,factconsolidation_mh_262k_no73,73,2,2,The official language of France is Hebrew,16085. The official language of France is Hebrew.,16085,True,4,5,"[""m-0b1100aa2215e071bf08a812""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,factconsolidation_mh_262k_no74,74,1,2,Tomokazu Seki is a citizen of United States of America,14560. Tomokazu Seki is a citizen of United States of America.,14560,True,2,3,"[""m-95bbccbd6a08d16d05369687""]",False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no74,factconsolidation_mh_262k_no74,74,2,2,The official language of United States of America is German,17661. The official language of United States of America is German.,17661,False,,,[],False
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,factconsolidation_mh_262k_no75,75,1,4,Taxman was performed by Madonna,12510. Taxman was performed by Madonna.,12510,True,3,4,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,factconsolidation_mh_262k_no75,75,2,4,The director of Madonna is Narendra Modi,12455. The director of Madonna is Narendra Modi.,12455,True,3,4,"[""m-b4f7617ddfde634fb0ac7372""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,factconsolidation_mh_262k_no75,75,3,4,Narendra Modi is a citizen of India,8510. Narendra Modi is a citizen of India.,8510,True,3,4,"[""m-aff4df280c82222c41cd9dbd""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no75,factconsolidation_mh_262k_no75,75,4,4,India is located in the continent of Asia,12155. India is located in the continent of Asia.,12155,True,5,6,"[""m-32937397b194ea97822b7885""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,factconsolidation_mh_262k_no76,76,1,2,centrifugal governor was created by Robert Louis Stevenson,18296. centrifugal governor was created by Robert Louis Stevenson.,18296,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no76,factconsolidation_mh_262k_no76,76,2,2,Robert Louis Stevenson was born in the city of Edinburgh,1004. Robert Louis Stevenson was born in the city of Edinburgh.,1004,False,,,[],True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,factconsolidation_mh_262k_no77,77,1,4,The author of Star Trek canon is Joseph Goebbels,15429. The author of Star Trek canon is Joseph Goebbels.,15429,True,5,6,"[""m-25705ac9d5e8865bd0ef9821""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,factconsolidation_mh_262k_no77,77,2,4,Joseph Goebbels is married to Magda Goebbels,5452. Joseph Goebbels is married to Magda Goebbels.,5452,True,5,6,"[""m-b7d3a9321839d30b4fca32c4""]",True
1,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no77,factconsolidation_mh_262k_no77,77,3,4,Magda Goebbels is a citizen of Germany,7446. Magda Goebbels is a citizen of Germany.,7446,False,,,[],True
